,sorting_time,mip_time,optimality_gap,optimal_height,sorting_height,
22,0.001507998,16.07952881,8.823529412,34,37,16
32,0.001588106,13.1591351,7.142857143,28,30,13
59,0.00130415,10.39602089,6.666666667,30,32,10
24,0.001139164,8.768944025,6.451612903,31,33,9
28,0.001358986,15.66052604,6.451612903,31,33,16
4,0.001601934,13.86529613,6.060606061,33,35,14
16,0.001203775,14.80227184,5.714285714,35,37,15
34,0.001997948,13.81206608,5.555555556,36,38,14
13,0.00093317,13.20871472,5.263157895,38,40,13
46,0.001430988,28.3536427,5,40,42,28
7,0.001476765,7.37125802,3.448275862,29,30,7
31,0.001509905,10.06536698,3.448275862,29,30,10
20,0.001572132,8.387500048,3.333333333,30,31,8
44,0.001500845,14.12362099,3.333333333,30,31,14
64,0.001288891,10.67502022,3.333333333,30,31,11
45,0.001497984,8.14377594,3.225806452,31,32,8
63,0.001383781,9.640461206,3.225806452,31,32,10
58,0.00126195,8.195261002,3.03030303,33,34,8
35,0.001457214,13.89192891,2.941176471,34,35,14
61,0.001232862,6.78164196,2.941176471,34,35,7
21,0.001489878,6.977379084,2.857142857,35,36,7
8,0.001493931,7.750076056,2.777777778,36,37,8
53,0.001354933,10.44623494,2.777777778,36,37,10
17,0.001480103,1060.234797,2.43902439,41,42,1060
6,0.000995159,10.06667113,2.380952381,42,43,10
2,0.001610041,17.0897491,2.272727273,44,45,17
57,0.001479864,33.9271431,1.724137931,58,59,34
0,0.000854015,6.296082973,0,48,48,6
1,0.001367092,4.891839981,0,33,33,5
3,0.001492023,333.5255449,0,49,49,334
5,0.001522064,9.51884079,0,32,32,10
9,0.001476288,4.703994751,0,37,37,5
10,0.001224041,13.3034668,0,40,40,13
11,0.001444101,8.258301973,0,43,43,8
12,0.00149703,6.373465776,0,36,36,6
14,0.001238108,7.138254166,0,38,38,7
15,0.001335859,6.232584953,0,37,37,6
18,0.001476049,25.77521706,0,46,46,26
19,0.001442909,15.67085409,0,41,41,16
23,0.001484156,6.224928141,0,37,37,6
25,0.001209021,7.186093092,0,41,41,7
26,0.001585007,7.401834965,0,40,40,7
27,0.00087285,22.629776,0,33,33,23
29,0.001300097,9.384487152,0,55,55,9
30,0.001458168,10.73464322,0,38,38,11
33,0.001467943,12.63649511,0,50,50,13
36,0.001322031,8.892868757,0,44,44,9
37,0.001460314,3957.602536,0,46,46,3958
38,0.00144887,7.804927111,0,42,42,8
39,0.001456022,9.19942379,0,47,47,9
40,0.001471043,14.7973361,0,38,38,15
41,0.00146699,12.42029905,0,34,34,12
42,0.00123167,10.42395306,0,30,30,10
43,0.001476765,6.610959291,0,40,40,7
47,0.001485825,6.723666191,0,56,56,7
48,0.001489878,8.385769844,0,37,37,8
49,0.001464128,69.69715619,0,44,44,70
50,0.001508951,9.440366268,0,38,38,9
51,0.00126791,5.763694048,0,44,44,6
52,0.001432896,7.041824102,0,38,38,7
54,0.00133419,7.041757822,0,43,43,7
55,0.00148797,5.112742186,0,39,39,5
56,0.001219988,4.970802784,0,36,36,5
60,0.001247168,9.575291872,0,37,37,10
62,0.00129199,6.528927803,0,43,43,7
65,0.001672983,6.549192905,0,42,42,7
66,0.001363993,7.400165319,0,33,33,7
67,0.001441002,4.923616171,0,39,39,5
68,0.001435041,6.817963123,0,44,44,7
,,88.45631852,,,,
